Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
1453 W Flournoy St Unit 1 Chicago,IL60607–University Village,2,1,1850,900,2.0555555555555554,71,
1061 W Jackson Blvd 1061 W Jackson Blvd,Chicago,IL60607–West Loop,2,1,2395,684,3.5014619883040936,80,
1311 W Randolph St Unit 209 Chicago,IL60607–Fulton Market,2,2,2666,930,2.8666666666666667,73,
354 N Union Ave Unit Deluxe Two Bedroom Suite #5.1341716 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
1225 W Cottage Plz Chicago,IL60607–West Loop,3,3,3950,1850,2.135135135135135,75,
23 N Racine Ave Unit 406 Chicago,IL60607–Fulton Market,2,2,3400,1600,2.125,76,
1450 W Randolph St Unit 1 Chicago,IL60607–West Loop,2,2,3779,1111,3.4014401440144013,73,
1500 W Monroe St Unit 00515 Chicago,IL60607–West Loop,1,1,2000,900,2.2222222222222223,75,
1222 W Jackson Blvd Unit 617 Chicago,IL60607–West Loop,1,1,2603,762,3.416010498687664,77,
1360 W Hubbard St Unit 3W Chicago,IL60642–West Loop,3,2,4995,,0,74,
6 S Laflin St Unit 920 Chicago,IL60607–Fulton Market,2,1,2375,,0,75,
910 W Madison St Unit 809 Chicago,IL60607–West Loop,1,1,2300,910,2.5274725274725274,87,
333 N Green St 333 N Green St,Chicago,IL60607–Fulton Market,1,1,2114,488,4.331967213114754,84,
411 N Halsted St 411 N Halsted St,Chicago,IL60642–West Loop,2,2,2114,488,4.331967213114754,85,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,1975,710,2.7816901408450705,100,
851 W Madison St Unit 409S Chicago,IL60607–West Loop,1,1,2955,725,4.075862068965518,87,
740 W Fulton St Unit 01209 Chicago,IL60661–Fulton Market,2,2,3200,1050,3.0476190476190474,84,
100 S Ashland Ave Unit 211 Chicago,IL60612–Near West Side,1,1,1950,850,2.2941176470588234,75,
935 W Randolph St Unit PH Chicago,IL60607–Fulton Market,3,2.5,7500,2500,3.0,83,
1518 W Monroe St Unit 009 Chicago,IL60607–West Loop,1,1,2100,531,3.9548022598870056,75,
2 bedroom in Chicago IL 60607 1431 W Flournoy St,Chicago,IL60607–Little Italy,2,1,1350,,0,71,
933 W Van Buren St Unit 00816 Chicago,IL60607–West Loop,2,2,3200,1211,2.642444260941371,83,
725 S Clark St Unit 801 Chicago,IL60605–South Loop,1,1,2290,,0,100,
River City 800 S Wells St,Chicago,IL60607–South Loop,4,3.5,1769,567,3.119929453262787,100,
232 S Halsted St Unit 1406 Chicago,IL60661–West Loop,2,2,3492,1005,3.4746268656716417,89,
1061 W Van Buren St Unit S Chicago,IL60607–West Loop,Studio,1,2005,550,3.6454545454545455,80,
737 W Washington Blvd Unit 905 Chicago,IL60661–Fulton Market,1,1.5,2950,904,3.2632743362831858,92,
842 W Adams St Unit 003A Chicago,IL60607–West Loop,2,1.5,2495,1200,2.0791666666666666,88,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
1360 W Hubbard St Unit 3w Chicago,IL60642–West Loop,3,2,4950,1680,2.9464285714285716,74,
235 W Van Buren St Unit 2515 Chicago,IL60607–Chicago Loop,2,2,2995,1031,2.9049466537342385,100,
779 W Adams St 779 W Adams St,Chicago,IL60661–West Loop,2,2,2557,596,4.290268456375839,92,
128 S Green St Chicago,IL60607–West Loop,4,3,7200,,0,90,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
241 W Harrison St Unit 207-1403 Chicago,IL60607–South Loop,2,2,3757,1208,3.1100993377483444,100,
The Reed 234 W Polk St,Chicago,IL60607–South Loop,3,2,2170,544,3.988970588235294,100,
215 N Aberdeen St Unit #605b Chicago,IL60607–Fulton Market,1,1,2500,850,2.9411764705882355,78,
905 S Laflin St Unit 2 Chicago,IL60607–Little Italy,3,1,2395,850,2.8176470588235296,70,
700 W Van Buren St Unit 1202 Chicago,IL60607–West Loop,1,1,2250,850,2.6470588235294117,94,
1404 W Randolph St Unit 0802 Chicago,IL60607–Fulton Market,2,2,3998,1078,3.7087198515769946,73,
800 S Clark St Unit 811 Chicago,IL60605–South Loop,3,2,3809,1385,2.7501805054151625,100,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2650,100,26.5,71,
1222 W Hubbard St Unit 1R Chicago,IL60642–West Loop,2,2,2200,950,2.3157894736842106,74,
1364 W Randolph St Unit 5D Chicago,IL60607–Fulton Market,1,1,2680,710,3.7746478873239435,72,
1418 W Lexington St Unit 3R Chicago,IL60607–Little Italy,3,1,2000,,0,71,
1035 W Van Buren St Unit FL10-ID522 Chicago,IL60607–West Loop,1,1,2940,739,3.9783491204330175,85,
1364 W Randolph St Unit 010 Chicago,IL60607–Fulton Market,1,1,2437,748,3.2580213903743314,72,
700 S Clark St Unit 801 Chicago,IL60605–South Loop,1,1,2230,750,2.973333333333333,100,
350 N Halsted St Chicago,IL60661–Fulton Market,1,1,2911,,0,84,
1040 W Adams St Unit 216 Chicago,IL60607–West Loop,1,1,2400,900,2.6666666666666665,81,
Full bedroom in 5 bed/3 bath Home 1119 S Loomis St,Chicago,IL60607–Little Italy,5,3,1280,,0,69,
732 S Financial Pl Unit 318 Chicago,IL60605–South Loop,1,1,1950,980,1.989795918367347,100,
701 S Wells St Chicago,IL60607–South Loop,Studio,1,1630,,0,100,
1001 W Washington Blvd Unit 1 Chicago,IL60607–Fulton Market,1,1,3339,702,4.756410256410256,82,
737 W Washington Blvd Unit 2502 Chicago,IL60661–Fulton Market,1,1,2850,,0,92,
1140 N Wells St Unit Junior Two Bedroom Suite #3.1341687 Chicago,IL60610–South Loop,2,2,14400,850,16.941176470588236,97,
400 S Green St Unit 401 Chicago,IL60607–West Loop,2,1,3200,1450,2.206896551724138,86,
763 W Adams St Unit S-10 Chicago,IL60661–West Loop,Studio,1,1945,565,3.4424778761061945,92,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1100,2.268181818181818,88,
1645 W Ogden Ave 1645 W Ogden Ave,Chicago,IL60612–Near West Side,3,2,1700,622,2.733118971061093,75,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,1950,950,2.0526315789473686,100,
733 S Wells St 733 S Wells St,Chicago,IL60607–South Loop,2,2,2510,908,2.76431718061674,100,
111 S Morgan St Unit 620 Chicago,IL60607–West Loop,1,1,2400,760,3.1578947368421053,86,
235 W Van Buren St Unit 3822 Chicago,IL60607–Chicago Loop,2,2,2800,1100,2.5454545454545454,100,
14 N Peoria St Unit 3F Chicago,IL60607–Fulton Market,4,2,5700,,0,87,
701 W Jackson Blvd Unit 301.1203675 Chicago,IL60661–West Loop,2,2,3250,1224,2.6552287581699345,94,
1436 W Lexington St Unit 2F Chicago,IL60607–Little Italy,2,1,1900,,0,71,
2 bedroom in CHICAGO IL 60607 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,2400,,0,100,
330 S Wells St Unit FL16-ID693 Chicago,IL60606–Chicago Loop,1,1,2840,600,4.733333333333333,100,
1061 W Van Buren St 1061 W Van Buren St,Chicago,IL60607–West Loop,1,1,2175,550,3.9545454545454546,80,
1446 W Lexington St Unit 2 Chicago,IL60607–Little Italy,2,1,2300,1100,2.090909090909091,71,
1407 S Halsted St Unit 1A Chicago,IL60607–University Village,2,2,2200,1100,2.0,64,
14 N Peoria St Unit 616 Chicago,IL60607–Fulton Market,1,1,2627,732,3.58879781420765,87,
1400 W Randolph St Unit 1001 Chicago,IL60607–Chicago,1,1,2669,720,3.7069444444444444,73,
700 W Van Buren St Unit 1202 Chicago,IL60607–West Loop,1,1,2250,850,2.6470588235294117,94,
933 W Van Buren St Unit 711 Chicago,IL60607–West Loop,2,2,3000,,0,82,
1301 W Madison St Unit 608 Chicago,IL60607–West Loop,2,2,3950,1500,2.6333333333333333,73,
365 N Halsted St Unit 1413.373149 Chicago,IL60654–West Loop,Studio,1,2374,481,4.9355509355509355,86,
611 S Wells St Unit 2302 Chicago,IL60607–South Loop,1,1,2100,,0,100,
1140 N Wells St Unit Junior Two Bedroom Suite #2.1341686 Chicago,IL60610–South Loop,2,2,14400,850,16.941176470588236,97,
1459 W Lexington St Unit 1W Chicago,IL60607–Little Italy,3,1.5,2700,998,2.7054108216432864,72,
911 S Miller St Unit G Chicago,IL60607–University Village,2,2,2600,1285,2.0233463035019454,74,
1 br, 1.5 bath Condo - 901 W Madison St 901 W Madison St,Chicago,IL60607–Fulton Market,1,1.5,2500,877,2.8506271379703536,88,
740 W Fulton St Unit 905 Chicago,IL60661–Fulton Market,2,2,3400,,0,84,
1311 W Randolph St 1311 W Randolph St,Chicago,IL60607–Fulton Market,2,2,2285,562,4.065836298932385,74,
232 S Green St Unit 2N Chicago,IL60607–West Loop,3,2.5,6750,,0,88,
500 S Clinton St Unit 512 Chicago,IL60607–South Loop,2,2,2600,,0,98,
1400 W Randolph St Unit 1501 Chicago,IL60607–Chicago,3,2.5,5428,1279,4.243940578577013,73,
123 S Green St Unit 910B Chicago,IL60607–West Loop,1,1,2300,800,2.875,90,
2 br, 1.5 bath Condo - 842 W Adams St 842 W Adams St,Chicago,IL60607–West Loop,2,1.5,2495,,0,88,
1035 W Van Buren St Unit 3009.550393 Chicago,IL60607–West Loop,Studio,1,2600,500,5.2,81,
1220 W Jackson Blvd. 1220 W Jackson Blvd,Chicago,IL60607–West Loop,2,2,1858,403,4.610421836228288,75,
948 W Madison St Unit 5NW Chicago,IL60607–West Loop,2,2,3200,1025,3.1219512195121952,84,
1360 W Hubbard St Unit 1E Chicago,IL60642–West Loop,3,3,4800,,0,74,
16 S Aberdeen St Unit #  01 Chicago,IL60607–West Loop,3,2.5,5000,9999,0.5000500050005,79,
365 N Halsted St Unit 2015.359390 Chicago,IL60654–West Loop,1,1,2969,681,4.359765051395008,86,
123 S Green St Unit 1109 Chicago,IL60607–Fulton Market,1,1,2550,780,3.269230769230769,90,
1056 W Van Buren St 1056 W Van Buren St,Chicago,IL60607–West Loop,3,2,2425,500,4.85,80,
1439 W Lexington St Chicago,IL60607–University Village,4,2,3750,,0,71,
354 N Union Ave Unit Junior Two Bedroom Suite #5.1341703 Chicago,IL60661–West Loop,2,2,14400,850,16.941176470588236,86,
1155 W Roosevelt Rd Unit 202 Chicago,IL60608–University Village,2,2,2200,1116,1.971326164874552,69,
Bright and spacious 3 bedroom / 2.5 bathro... 16 S Aberdeen St,Chicago,IL60607–West Loop,3,2.5,5000,2000,2.5,79,
1402 W Randolph St Unit 0801 Chicago,IL60607–Fulton Market,2,2,4064,,0,74,
757 W Liberty St Unit 207 Chicago,IL60607–University Village,2,1,2200,,0,64,
625 W Jackson Blvd Unit 808 Chicago,IL60661–West Loop,2,2,2600,1300,2.0,98,
700 S Clark St 700 S Clark St,Chicago,IL60605–South Loop,2,2,2316,735,3.1510204081632653,100,
851 W Madison St Unit 1707-08S Chicago,IL60607–West Loop,3,2,6038,1593,3.790332705586943,88,
1500 W Monroe St Unit 503 Chicago,IL60607–West Loop,2,2,2800,1200,2.3333333333333335,75,
611 S Wells St 611 S Wells St,Chicago,IL60607–South Loop,2,2,2000,700,2.857142857142857,100,
1 N Halsted St 1 N Halsted St,Chicago,IL60661–Fulton Market,3,2,2104,490,4.293877551020408,92,
Madison at Racine 1164-1212 W Madison St,Chicago,IL60607–West Loop,2,2,2357,568,4.149647887323944,77,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
939 W Washington Blvd Unit FL6-ID205 Chicago,IL60607–Fulton Market,Studio,1,2990,486,6.152263374485597,87,
1338 W Fillmore St Unit A Chicago,IL60607–University Village,2,1,2300,1200,1.9166666666666667,69,
1140 N Wells St Unit Deluxe One Bedroom Suite #3.1341667 Chicago,IL60610–South Loop,1,1,12000,700,17.142857142857142,97,
933 W Van Buren St Unit 307 Chicago,IL60607–West Loop,2,2,2650,1300,2.0384615384615383,82,
851 W Madison St Unit 714N Chicago,IL60607–West Loop,2,2,4446,1128,3.9414893617021276,88,
440 N Halsted St Unit 03A Chicago,IL60642–West Loop,3,3.5,7000,2400,2.9166666666666665,83,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1000,2.495,88,
770 W Gladys Ave Unit 307 Chicago,IL60661–West Loop,1,1,2850,750,3.8,92,
111 S Morgan St Unit 520 Chicago,IL60607–Fulton Market,1,1,2400,800,3.0,86,
1411 W Taylor St Unit 2R Chicago,IL60607–Little Italy,4,3,4000,,0,70,
1140 N Wells St Unit Deluxe Two Bedroom Suite #4.1341695 Chicago,IL60610–South Loop,2,2,16500,1000,16.5,97,
330 S Wells St Unit FL16-ID668 Chicago,IL60606–Chicago Loop,1,1,2890,622,4.646302250803859,100,
Roosevelt Collection Lofts 150 W Roosevelt Rd,Chicago,IL60605–South Loop,2,2,2393,759,3.152832674571805,98,
23 N Racine Ave Unit 434 Chicago,IL60607–Fulton Market,3,2,5500,2500,2.2,76,
The Duncan 1515 W Monroe St,Chicago,IL60607–West Loop,1,1,1565,338,4.6301775147929,75,
1340 W Madison St Unit 3W Chicago,IL60607–West Loop,1,1,2950,1500,1.9666666666666666,73,
354 N Union Ave Unit Deluxe Two Bedroom Suite #6.1341717 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
842 W Adams St Unit 003T Chicago,IL60607–West Loop,2,1.25,2495,1200,2.0791666666666666,88,
1446 W Lexington St Unit 2 Chicago,IL60607–Little Italy,2,1,2300,1000,2.3,71,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1000,2.495,88,
180 N Ada St Unit FL8-ID491 Chicago,IL60607–Fulton Market,Studio,1,2860,533,5.365853658536586,72,
720 N Milwaukee Ave Unit 1309 Chicago,IL60642–University Village,2,2,3850,969,3.9731682146542826,78,
1151 W Washington Blvd 1151 W Washington Blvd,Chicago,IL60607–Fulton Market,3,2,2680,900,2.977777777777778,78,
834 W Monroe St Unit 714S Chicago,IL60607–West Loop,1,1,3269,880,3.7147727272727273,86,
400 S Green St Unit 312 Chicago,IL60607–West Loop,1,1,2450,1000,2.45,89,
1056 W Van Buren St Unit 2810 Chicago,IL60607–West Loop,1,1,2660,700,3.8,80,
1014 W Monroe St Unit 2 Chicago,IL60607–Chicago,2,2,3500,1300,2.6923076923076925,84,
180 N Ada St Unit FL7-ID722 Chicago,IL60607–Fulton Market,1,1,3790,691,5.4848046309696095,72,
1040 W Adams St 1040 W Adams St,Chicago,IL60607–West Loop,1,1,2500,900,2.7777777777777777,81,
110 N Peoria St Unit 408 Chicago,IL60607–Fulton Market,1,1,3026,715,4.232167832167832,87,
1306 W Fillmore St Unit 2 Chicago,IL60607–Little Italy,2,2.5,3600,2000,1.8,68,
917 W Madison St Unit 1 Chicago,IL60607–West Loop,1,1,2300,796,2.8894472361809047,87,
The Parker Fulton Market 730 W Couch Pl,Chicago,IL60661–Fulton Market,3,2.5,2000,522,3.8314176245210727,87,
1140 N Wells St Unit Deluxe Two Bedroom Suite #2.1341693 Chicago,IL60610–South Loop,2,2,16500,1000,16.5,97,
150 N Aberdeen St Chicago,IL60607–Fulton Market,2,2,4400,1163,3.783319002579536,78,
740 W Fulton St Unit 513 Chicago,IL60661–Fulton Market,2,2,3800,1391,2.7318475916606757,86,
948 W Madison St Unit 005NW Chicago,IL60607–West Loop,2,2,3200,1025,3.1219512195121952,83,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2100,1000,2.1,71,
1140 N Wells St Unit Deluxe One Bedroom Suite #6.1341670 Chicago,IL60610–South Loop,1,1,12000,700,17.142857142857142,97,
2 br, 2.5 bath Duplex - City Flats Chicago... 1306 W Fillmore St,Chicago,IL60607–Little Italy,2,2.5,3600,2020,1.7821782178217822,68,
14 N Sangamon St Unit 307 Chicago,IL60607–West Loop,2,2,3000,1150,2.608695652173913,85,
1180 S Delano Ct Chicago,IL60605–South Loop,1,1,2100,,0,97,
1162 W Hubbard St Unit 201 Chicago,IL60642–West Loop,3,2,4500,2000,2.25,76,
907 W Madison St Unit 2102 Chicago,IL60607–West Loop,2,2,4641,1070,4.337383177570094,87,
200 S Halsted St 200 S Halsted St,Chicago,IL60661–West Loop,2,2,2026,510,3.9725490196078432,90,
323 S Racine Ave Unit 6B Chicago,IL60607–West Loop,3,3,5900,,0,78,
235 W Van Buren St Unit 2203 Chicago,IL60607–Chicago Loop,2,2,2400,1200,2.0,100,
1035 W Van Buren St Unit 1909.6483 Chicago,IL60607–West Loop,Studio,1,2600,514,5.058365758754864,81,
1355 W Fulton St Unit 1a Chicago,IL60607–Fulton Market,1,1,2434,581,4.189328743545611,71,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1600,1.559375,88,
732 S Financial Pl Unit 212 Chicago,IL60605–South Loop,2,2,3073,1130,2.7194690265486727,100,
The Regal Apartments 651 S Wells St,Chicago,IL60607–South Loop,3,2.5,1662,644,2.580745341614907,100,
400 S Green St Unit 310 Chicago,IL60607–West Loop,3,3,6000,2800,2.142857142857143,86,
1327 W Fillmore St Unit 1F Chicago,IL60607–University Village,4,3,3200,1600,2.0,68,
717 W Madison St Unit 3806 Chicago,IL60661–West Loop,3,2,6404,1550,4.131612903225807,93,
801 S Wells St Unit 1003 Chicago,IL60607–South Loop,1,1,2300,1350,1.7037037037037037,100,
717 S Wells St Unit 1 Chicago,IL60607–South Loop,3,2,4639,1400,3.3135714285714286,100,
1140 N Wells St Unit Junior Two Bedroom Suite #4.1341688 Chicago,IL60610–South Loop,2,2,14400,850,16.941176470588236,97,
420 S Clinton St Unit 118 Chicago,IL60607–West Loop,2,1.5,2850,1000,2.85,98,
932 W Washington Blvd Unit 105 Chicago,IL60607–Fulton Market,1,1,2449,750,3.2653333333333334,84,
1140 N Wells St Unit Deluxe Two Bedroom Suite #1.1341692 Chicago,IL60610–South Loop,2,2,16500,1000,16.5,97,
914 W Hubbard St Unit 101 Chicago,IL60642–West Loop,1,1,2150,900,2.388888888888889,79,
948 W Madison St 948 W Madison St,Chicago,IL60607–West Loop,3,3,2150,578,3.7197231833910034,83,
1200 W Monroe St Unit 820 Chicago,IL60607–Fulton Market,2,2,3400,1345,2.5278810408921935,77,
700 W Van Buren St Unit 1202 Chicago,IL60607–West Loop,1,1,2250,850,2.6470588235294117,94,
701 S Wells St 701 S Wells St,Chicago,IL60607–South Loop,2,2,1858,559,3.323792486583184,100,
321 S Sangamon St Unit 408 Chicago,IL60607–Fulton Market,2,2,2900,1200,2.4166666666666665,82,
733 S Wells St 733 S Wells St,Chicago,IL60607–South Loop,2,2,1999,466,4.289699570815451,100,
850 W Madison St Chicago,IL60607–West Loop,1,1,2222,,0,87,
6 S Laflin St Unit 720 Chicago,IL60607–Fulton Market,1,1,2300,,0,75,
300 N Halsted St Chicago,IL60661–Fulton Market,2,2,3100,,0,84,
2 br, 2 bath Condo - 1347 W Washington Blvd 1347 W Washington Blvd,Chicago,IL60607–Fulton Market,2,2,2900,1300,2.230769230769231,73,
175 N Ada St Unit 1310 Chicago,IL60607–Fulton Market,Studio,1,1871,423,4.423167848699763,72,
1041 W Taylor St Unit 3 Chicago,IL60607–University Village,3,2,3200,,0,73,
25 S Halsted St Unit 1 Chicago,IL60661–West Loop,Studio,1,1859,550,3.38,92,
Full bedroom in 5 bed/3 bath Home 1119 S Loomis St,Chicago,IL60607–Little Italy,5,3,1030,,0,69,
823 W Madison St Unit 1 Chicago,IL60607–West Loop,1,1,3316,735,4.51156462585034,90,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2100,,0,71,
Milieu 205 S Peoria,Chicago,IL60607–West Loop,2,2,2217,561,3.9518716577540105,88,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,100,24.95,88,
527 S Wells St 527 S Wells St,Chicago,IL60607–South Loop,2,2,1810,551,3.2849364791288567,100,
1306 W Fillmore St Unit 2 Chicago,IL60607–Little Italy,2,2.5,3600,2000,1.8,68,
917 S Loomis St 917 S Loomis St,Chicago,IL60607–Little Italy,5,2,1550,900,1.7222222222222223,71,
450 N Racine Ave Unit 1 Chicago,IL60642–West Loop,3,2.5,6000,,0,75,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,2400,100,24.0,100,
124 W Polk St Unit 219 Chicago,IL60605–South Loop,1,1,1914,550,3.48,100,
1200 W Monroe St Unit 806 Chicago,IL60607–Fulton Market,2,2,3750,,0,77,
177 N Ada St 177 N Ada St,Chicago,IL60607–Fulton Market,2,2,2000,500,4.0,71,
414 S La Salle St Unit 1 Chicago,IL60605–Chicago Loop,Studio,1,2139,602,3.553156146179402,100,
727 West Madison 727 W Madison St,Chicago,IL60661–West Loop,3,3,2115,490,4.316326530612245,92,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
125 N Halsted St Unit 1 Chicago,IL60661–Fulton Market,Studio,1,2117,488,4.338114754098361,91,
354 N Union Ave Unit Deluxe Two Bedroom Suite #2.1341711 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
354 N Union Ave Unit Junior Two Bedroom Suite #4.1341702 Chicago,IL60661–West Loop,2,2,14400,750,19.2,86,
336 S Wells St Unit 1303 Chicago,IL60606–Chicago Loop,Studio,1,1995,464,4.299568965517241,100,
1356 W Randolph St Unit 503 Chicago,IL60607–Fulton Market,1,1,2295,,0,73,
1340 W Hubbard St Unit 2 Chicago,IL60642–West Loop,2,2,3100,1500,2.066666666666667,72,
1034 S Racine Ave Unit 101 Chicago,IL60607–Little Italy,4,2,3500,1600,2.1875,70,
730 W Couch Pl Unit 2002.479919 Chicago,IL60661–Fulton Market,1,1,3176,639,4.970266040688576,90,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
732 S Financial Pl Unit 518 Chicago,IL60605–South Loop,1,1,2250,,0,100,
720 S Clark St 720 S Clark St,Chicago,IL60605–South Loop,3,3,1679,560,2.9982142857142855,100,
601 Jackson Blvd Unit CONV Chicago,IL60661–West Loop,Studio,1,2284,501,4.558882235528942,97,
3 bedroom in Chicago IL 60607 16 S Aberdeen St,Chicago,IL60607–West Loop,3,2,5000,,0,79,
933 W Van Buren St Unit 322 Chicago,IL60607–West Loop,2,2,2500,,0,83,
1000 W Adams St Unit 709 Chicago,IL60607–West Loop,2,2,3200,1436,2.2284122562674096,83,
1030 W Van Buren St 1030 W Van Buren St,Chicago,IL60607–West Loop,2,2,1995,500,3.99,83,
1500 W Monroe St Unit 509 Chicago,IL60607–Fulton Market,1,1,1950,,0,75,
611 S Wells St Unit 2006 Chicago,IL60607–South Loop,2,2,2950,1140,2.587719298245614,100,
720 S Clark St Unit 2 Chicago,IL60605–South Loop,1,1,2500,700,3.5714285714285716,100,
648 W 16th St Chicago,IL60616–Pilsen,3,2.5,3500,1800,1.9444444444444444,65,
1446 W Lexington St 1446 W Lexington St,Chicago,IL60607–Little Italy,2,1,2300,1100,2.090909090909091,71,
Gateway West Loop 11 S Green St,Chicago,IL60607–West Loop,2,2,2087,399,5.230576441102757,90,
1364 W Randolph St Unit 3D Chicago,IL60607–Fulton Market,1,1,2295,600,3.825,73,
730 W Couch Pl Unit FL7-ID781 Chicago,IL60661–Fulton Market,2,2,4500,1013,4.4422507403751235,91,
1035 W Van Buren St Unit FL11-ID524 Chicago,IL60607–West Loop,1,1,2930,750,3.9066666666666667,81,
Fulbrix 160 N Elizabeth St,Chicago,IL60607–Fulton Market,3,2,2354,538,4.37546468401487,73,
1100 W Polk St 1100 W Polk St,Chicago,IL60607–University Village,5,3,6000,1850,3.2432432432432434,75,
1222 W Jackson Blvd Unit 1005 Chicago,IL60607–West Loop,2,2,3674,1041,3.5292987512007685,77,
1140 N Wells St Unit Deluxe Two Bedroom Suite #6.1341698 Chicago,IL60610–South Loop,2,2,16500,1000,16.5,97,
