Address,Bedrooms,Bathrooms,Rent,Total Area,Price per Sq.Ft.,Transit Score,Type of House
1140 N Wells St Unit Deluxe One Bedroom Suite #2.1341665 Chicago,IL60610–South Loop,1,1,12000,700,17.142857142857142,97,
235 W Van Buren St Unit #2122 Chicago,IL60607–Chicago Loop,2,2,2400,9999,0.24002400240024002,100,
1315 W Randolph St Chicago,IL60607–West Loop,1,1,2095,,0,73,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
839 W Madison St 839 W Madison St,Chicago,IL60607–West Loop,2,2,2500,561,4.45632798573975,83,
611 S Wells St Unit 2701 Chicago,IL60607–South Loop,1,1,2200,1000,2.2,100,
1140 N Wells St Unit Level Suite #4.1341681 Chicago,IL60610–South Loop,Studio,1,10500,560,18.75,97,
1137 W Monroe St Chicago,IL60607–West Loop,3,3.5,6600,,0,79,
730 W Couch Pl Unit 1708.226632 Chicago,IL60661–Fulton Market,1,1,2745,686,4.001457725947522,91,
732 S Financial Pl Unit 000506 Chicago,IL60605–South Loop,1,1,1900,1000,1.9,100,
Circa 922 922 W Washington Blvd,Chicago,IL60607–Fulton Market,2,1.5,2586,676,3.8254437869822486,85,
795 W Adams St Chicago,IL60607–West Loop,Studio,1,2050,,0,92,
701 W Jackson Blvd Unit 302B Chicago,IL60661–West Loop,1,1,2600,1180,2.2033898305084745,94,
SCIO AT THE MEDICAL DISTRICT 901 S Ashland Ave,Chicago,IL60607–Little Italy,2,2,1825,553,3.3001808318264017,70,
1224 W Van Buren St 1224 W Van Buren St,Chicago,IL60607–West Loop,2,1,2400,900,2.6666666666666665,74,
1325 W Randolph St Unit 1 Chicago,IL60607–Fulton Market,1,1,2372,618,3.838187702265372,71,
716 S Laflin St Unit 3F Chicago,IL60607–Little Italy,3,2,3300,,0,71,
Full bedroom in 5 bed/3 bath Home 1119 S Loomis St,Chicago,IL60607–Little Italy,5,3,1280,,0,68,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,900,2.772222222222222,88,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
740 W Fulton St Chicago,IL60661–Fulton Market,2,2,3600,1400,2.5714285714285716,86,
1140 N Wells St Unit Junior Two Bedroom Suite #5.1341689 Chicago,IL60610–South Loop,2,2,14400,850,16.941176470588236,97,
611 S Wells St Unit 2701 Chicago,IL60607–South Loop,1,1,2200,100,22.0,100,
933 W Van Buren St Unit 309 Chicago,IL60607–West Loop,2,2,2799,1300,2.153076923076923,82,
365 N Halsted St Unit 3109.703914 Chicago,IL60654–West Loop,3,2,6198,1515,4.091089108910891,86,
123 S Green St Unit 402B Chicago,IL60607–West Loop,1,1,2550,900,2.8333333333333335,90,
1446 W Randolph St Unit 0401 Chicago,IL60607–West Loop,2,2,3880,,0,73,
1645 W Ogden Ave Unit 713 Chicago,IL60612–Near West Side,2,2,2800,,0,76,
1140 N Wells St Unit Deluxe One Bedroom Suite #1.1341664 Chicago,IL60610–South Loop,1,1,12000,700,17.142857142857142,97,
1722 S Desplaines St Unit 1F Chicago,IL60616–Pilsen,Studio,1,975,,0,65,
948 W Madison St Unit 5NW Chicago,IL60607–West Loop,2,2,3200,1025,3.1219512195121952,84,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1900,1.313157894736842,88,
355 N Halsted St 355 N Halsted St,Chicago,IL60661–West Loop,2,2,2088,513,4.0701754385964914,86,
843 W Adams St 843 W Adams St,Chicago,IL60607–West Loop,2,2,3350,1000,3.35,-,
111 S Peoria St Chicago,IL60607–Fulton Market,3,4,7600,,0,88,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,1975,817,2.4173806609547124,100,
1140 N Wells St Unit Junior Two Bedroom Suite #6.1341691 Chicago,IL60610–South Loop,2,2,14400,850,16.941176470588236,97,
6 S Laflin St Unit 612 Chicago,IL60607–Fulton Market,2,2,2700,,0,76,
16 S Aberdeen St Chicago,IL60607–West Loop,3,2,5000,2200,2.272727272727273,79,
1400 W Monroe St Unit 6E Chicago,IL60607–West Loop,3,2.5,7000,1896,3.691983122362869,75,
354 N Union Ave Unit Deluxe Two Bedroom Suite #1.1341705 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
6 S Laflin St 6 S Laflin St,Chicago,IL60607–West Loop,2,1,2300,700,3.2857142857142856,76,
737 W Washington Blvd Unit 3208 Chicago,IL60661–Fulton Market,2,2,4800,1722,2.7874564459930316,92,
801 W Adams St 801 W Adams St,Chicago,IL60607–West Loop,2,2,2430,683,3.5578330893118593,90,
1134 S Delano Ct Unit E616 Chicago,IL60605–South Loop,1,1,2523,,0,97,
330 S Wells St Unit FL13-ID200 Chicago,IL60606–Chicago Loop,1,1,2920,604,4.8344370860927155,100,
1327 W Washington Blvd Unit 3G Chicago,IL60607–Fulton Market,2,1.25,3500,1700,2.0588235294117645,73,
725 S Wells St 725 S Wells St,Chicago,IL60607–South Loop,1,1,1890,560,3.375,100,
330 S Wells St Unit FL14-ID220 Chicago,IL60606–Chicago Loop,1,1,2940,600,4.9,100,
1301 W Madison St Unit 318 Chicago,IL60607–West Loop,2,1,2800,,0,73,
728 S Clark St Unit 404 Chicago,IL60605–South Loop,1,1,2557,,0,100,
2 br, 2 bath Condo - 235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
1518 W Monroe St Unit A204 Chicago,IL60607–West Loop,Studio,1,1575,357,4.411764705882353,75,
1300 W Jackson Blvd 1300 W Jackson Blvd,Chicago,IL60607–West Loop,2,2,2500,800,3.125,73,
768 W. Jackson 768 W Jackson Blvd,Chicago,IL60661–West Loop,Studio,1,1275,,0,92,
310 S Clinton St Unit 2 Chicago,IL60661–West Loop,1,1,1800,720,2.5,100,
354 N Union Ave Unit Deluxe Two Bedroom Suite #4.1341715 Chicago,IL60661–West Loop,2,2,16500,1000,16.5,86,
842 W Adams St Unit #  03 Chicago,IL60607–West Loop,2,1.5,2495,9999,0.24952495249524953,88,
235 W Van Buren St Unit 4414 Chicago,IL60607–Chicago Loop,2,2,2495,,0,100,
933 W Van Buren St Unit 816 Chicago,IL60607–West Loop,2,2,3400,1300,2.6153846153846154,83,
235 W Van Buren St Unit 2517 Chicago,IL60607–Chicago Loop,1,1,1975,,0,100,
740 W Fulton St Unit 804 Chicago,IL60661–Fulton Market,1,1,2500,800,3.125,86,
1155 Roosevelt W Rd Unit 408 Chicago,IL60608–University Village,2,2,2400,1150,2.0869565217391304,69,
2 br, 1 bath Condo - 6 South Laflin Street... 6 S Laflin St,Chicago,IL60607–Fulton Market,2,1,2375,900,2.638888888888889,75,
Alta Grand Central 221 W Harrison St,Chicago,IL60607–South Loop,3,2.5,1812,407,4.452088452088452,100,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
124 W Polk St Unit 902 Chicago,IL60605–South Loop,1,1,2785,831,3.351383874849579,100,
1446 W Lexington St 1446 W Lexington St,Chicago,IL60607–Little Italy,2,1,2300,1250,1.84,71,
1140 N Wells St Unit Executive One Bedroom Suite #2.1341673 Chicago,IL60610–South Loop,1,1,12600,750,16.8,97,
943 W Washington Blvd Unit 1 Chicago,IL60607–Fulton Market,Studio,1,2082,484,4.301652892561983,84,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1200,2.0791666666666666,88,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,1200,2.0791666666666666,88,
16 S Aberdeen St Chicago,IL60607–West Loop,3,2.5,5000,2200,2.272727272727273,79,
808 W Monroe St Unit 2d Chicago,IL60607–Chicago,1,1,2375,790,3.0063291139240507,90,
106 S Sangamon St Unit 4S Chicago,IL60607–Chicago,3,2,6000,2000,3.0,86,
939 W Washington Blvd Unit B-W409.485824 Chicago,IL60607–Fulton Market,Studio,1,2987,486,6.1460905349794235,87,
354 N Union Ave Unit Deluxe One Bedroom Suite #5.1341722 Chicago,IL60661–West Loop,1,1,12000,700,17.142857142857142,86,
420 S Clinton St Unit 118 Chicago,IL60607–West Loop,2,1.5,2850,1000,2.85,98,
1140 N Wells St Unit Executive One Bedroom Suite #6.1341677 Chicago,IL60610–South Loop,1,1,12600,750,16.8,97,
911 S Miller St Unit G Chicago,IL60607–University Village,2,2,2600,,0,74,
177 N Ada St 177 N Ada St,Chicago,IL60607–Fulton Market,2,2,2999,740,4.052702702702702,71,
125 S Green St Unit 604A Chicago,IL60607–West Loop,1,1,3000,3000,1.0,90,
Full bedroom in 5 bed/3 bath Home 1119 S Loomis St,Chicago,IL60607–Little Italy,5,3,1230,,0,68,
1000 W Adams St Unit 709 Chicago,IL60607–West Loop,2,2,3200,1436,2.2284122562674096,83,
625 W Jackson Blvd Unit 404 Chicago,IL60661–West Loop,2,2,4200,,0,97,
235 W Van Buren St 235 W Van Buren St,Chicago,IL60607–Chicago Loop,2,2,2600,1000,2.6,100,
333 N Green St Unit 2 Chicago,IL60607–Fulton Market,Studio,1,2028,513,3.953216374269006,84,
300 N Halsted St Chicago,IL60661–Fulton Market,2,2,4115,,0,84,
Avra West Loop 1125 W Van Buren St,Chicago,IL60607–West Loop,3,2,2005,470,4.26595744680851,79,
111 S Morgan St Unit 619 Chicago,IL60607–West Loop,1,1,2450,800,3.0625,86,
901 S Ashland Ave Unit 02-1115 Chicago,IL60607–University Village,1,1,1974,624,3.1634615384615383,70,
1201 W Adams St Unit 612 Chicago,IL60607–West Loop,2,2,3200,1200,2.6666666666666665,75,
1427 W Lexington St Unit 2nd Chicago,IL60607–Little Italy,3,1.5,2100,1300,1.6153846153846154,72,
948 W Madison St 948 W Madison St,Chicago,IL60607–West Loop,2,2,2421,561,4.315508021390374,84,
601 W Jackson Blvd Unit 1303.470 Chicago,IL60661–West Loop,Studio,1,2665,569,4.68365553602812,97,
1 bedroom in Chicago IL 60607 700 W Van Buren St,Chicago,IL60607–West Loop,1,1,2250,,0,94,
1335 W Taylor St Unit 4 Chicago,IL60607–Little Italy,4,2,4000,2200,1.8181818181818181,69,
808 W Van Buren St Unit FL10-ID534 Chicago,IL60607–West Loop,2,2,4710,1090,4.321100917431193,88,
901 W Madison St Unit 404 Chicago,IL60607–Fulton Market,1,1.5,2500,900,2.7777777777777777,88,
1250 W Van Buren St Unit 205 Chicago,IL60607–West Loop,2,1,2300,100,23.0,74,
333 S Desplaines St Unit 505 Chicago,IL60661–West Loop,1,1,2300,1000,2.3,97,
1116 W Polk St Unit 1RB Chicago,IL60607–University Village,1,1,1400,900,1.5555555555555556,73,
1225 W Cottage Plz Chicago,IL60607–West Loop,3,3,3950,1850,2.135135135135135,75,
111 W Polk St Unit FL10-ID688 Chicago,IL60605–South Loop,1,1,3130,752,4.162234042553192,100,
1380 W Randolph St Unit 1 Chicago,IL60607–Fulton Market,1,1,2359,550,4.289090909090909,72,
700 S Clark St 700 S Clark St,Chicago,IL60605–South Loop,2,2,2290,735,3.1156462585034013,100,
933 W Van Buren St Unit 816 Chicago,IL60607–West Loop,2,2,3400,1211,2.8075970272502064,82,
6 S Laflin St Unit 522 Chicago,IL60607–Fulton Market,1,1,2100,,0,76,
1044 W Fulton Market Chicago,IL60607–Fulton Market,3,2,4800,1600,3.0,79,
1131 W Madison St Unit 2f Chicago,IL60607–West Loop,2,2,4495,1825,2.463013698630137,79,
Full bedroom in 5 bed/3 bath Home 1119 S Loomis St,Chicago,IL60607–Little Italy,5,3,1230,,0,68,
1335 W Taylor St 1335 W Taylor St,Chicago,IL60607–Little Italy,4,2,4200,2200,1.9090909090909092,69,
804 S Loomis St Unit 1 Chicago,IL60607–Little Italy,3,1.5,2500,1000,2.5,72,
1360 W Hubbard St Unit 3W Chicago,IL60642–West Loop,3,2,5750,1680,3.4226190476190474,74,
1224 W Jackson Blvd Unit 301 Chicago,IL60607–West Loop,1,1,2547,731,3.4842681258549932,76,
JeffJack Apartments 601 W Jackson Blvd,Chicago,IL60661–West Loop,2,2,1909,475,4.018947368421053,98,
323 S Racine Ave Unit 3C Chicago,IL60607–West Loop,3,3,5800,2160,2.685185185185185,78,
14 N Aberdeen St Chicago,IL60607–West Loop,2,2,3350,1100,3.0454545454545454,81,
801 S Wells St Unit 404 Chicago,IL60607–South Loop,1,1,1950,850,2.2941176470588234,100,
Porte 855 W Madison St,Chicago,IL60607–West Loop,3,2,2561,546,4.690476190476191,88,
720 N Milwaukee Ave Unit 1505 Chicago,IL60642–University Village,3,3,3800,1152,3.298611111111111,78,
The Cooper 720 S Wells St,Chicago,IL60607–South Loop,3,3.5,2096,451,4.647450110864745,100,
1440 W Randolph St 1440 W Randolph St,Chicago,IL60607–West Loop,2,2,2399,900,2.6655555555555557,73,
1012 W Randolph Apartments 1012 W Randolph St,Chicago,IL60607–Fulton Market,1,1,3900,1435,2.7177700348432055,80,
501 S Wells St 501 S Wells St,Chicago,IL60607–Chicago Loop,2,2,1993,560,3.5589285714285714,100,
1035 W Van Buren St Unit FL12-ID755 Chicago,IL60607–West Loop,2,1,4060,1025,3.9609756097560975,85,
Parq Fulton 1400 W Randolph St,Chicago,IL60607–West Loop,3,2.5,2295,527,4.354838709677419,73,
1327 W Washington Blvd Unit 2a Chicago,IL60607–Fulton Market,2,2,4999,2000,2.4995,73,
235 W Van Buren St Unit #  02122 Chicago,IL60607–Chicago Loop,2,2,2400,9999,0.24002400240024002,100,
175 N Ada St 175 N Ada St,Chicago,IL60607–Fulton Market,2,2,1974,600,3.29,72,
16 S Aberdeen St Unit 1 Chicago,IL60607–West Loop,3,2.5,5000,2600,1.9230769230769231,79,
354 N Union Ave Unit Deluxe One Bedroom Suite #4.1341721 Chicago,IL60661–West Loop,1,1,12000,700,17.142857142857142,86,
900 W Washington Blvd 900 W Washington Blvd,Chicago,IL60607–Fulton Market,2,2,2000,482,4.149377593360996,87,
1201 W Adams St Unit 00709 Chicago,IL60607–West Loop,1,1,2300,800,2.875,75,
1140 N Wells St Unit Executive One Bedroom Suite #5.1341676 Chicago,IL60610–South Loop,1,1,12600,750,16.8,97,
843 W Adams St 843 W Adams St,Chicago,IL60607–West Loop,2,2,3350,1000,3.35,88,
701 S Wells St 701 S Wells St,Chicago,IL60607–South Loop,2,2.5,2024,559,3.6207513416815744,100,
354 N Union Ave Unit Junior Two Bedroom Suite #1.1341699 Chicago,IL60661–West Loop,2,2,14400,850,16.941176470588236,86,
Roosevelt Square Apartments 1346 W Taylor St,Chicago,IL60607–Little Italy,3,2,1064,557,1.9102333931777378,71,
38 S Peoria St 38 S Peoria St,Chicago,IL60607–West Loop,2,2,2755,725,3.8,87,
330 S Wells St Unit FL15-ID670 Chicago,IL60606–Chicago Loop,1,1,2820,583,4.8370497427101204,100,
1035 W Van Buren St Unit 2704.643 Chicago,IL60607–West Loop,1,1,2938,600,4.8966666666666665,80,
1000 W Washington Blvd Unit 313 Chicago,IL60607–Fulton Market,1,1,2750,,0,82,
901 W Madison St Unit 405 Chicago,IL60607–Fulton Market,1,1.5,2500,800,3.125,87,
701 S Wells St Unit 3106 Chicago,IL60607–South Loop,3,2.5,7500,,0,100,
912 W Lake St Unit 05-B Chicago,IL60607–Fulton Market,2,1,2305,1000,2.305,83,
913 S Miller St Unit 2 Chicago,IL60607–University Village,4,2,4200,1285,3.2684824902723735,73,
Full bedroom in 5 bed/3 bath Home 1119 S Loomis St,Chicago,IL60607–Little Italy,5,3,1280,,0,69,
1224 W Van Buren St 1224 W Van Buren St,Chicago,IL60607–West Loop,2,1.5,2600,950,2.736842105263158,74,
702 W Fulton St Unit 02 Chicago,IL60661–West Loop,2,2,3462,1016,3.40748031496063,86,
525 S Wells St Unit 3 Chicago,IL60607–South Loop,1,1,2590,794,3.261964735516373,100,
1040 W Adams St Unit 02-66 Chicago,IL60607–Fulton Market,1,1,2700,1050,2.5714285714285716,81,
464 N Ashland Ave Unit 3A Chicago,IL60622–West Town,2,1,2890,984,2.936991869918699,73,
1012 W Randolph St 1012 W Randolph St,Chicago,IL60607–Fulton Market,3,3,4545,1070,4.247663551401869,80,
Tailor Lofts 315 S Peoria St,Chicago,IL60607–West Loop,4,4,1089,359,3.033426183844011,87,
1394 W Randolph St Chicago,IL60607–Fulton Market,1,1,2661,720,3.6958333333333333,72,
1500 W Monroe St 1500 W Monroe St,Chicago,IL60607–West Loop,2,2,2450,1000,2.45,75,
1446 W Lexington St Unit 2 Chicago,IL60607–Little Italy,2,1,2100,800,2.625,71,
16 S Aberdeen St Unit 1 Chicago,IL60607–West Loop,3,2.5,5000,1500,3.3333333333333335,79,
630 S Clark St 630 S Clark St,Chicago,IL60605–South Loop,2,2,2218,735,3.017687074829932,100,
800 S Clark St 800 S Clark St,Chicago,IL60605–South Loop,2,2,1939,522,3.71455938697318,100,
235 W Van Buren St Unit 2122 Chicago,IL60607–Chicago Loop,2,2,2400,1100,2.1818181818181817,100,
877 W Madison St Unit 409S Chicago,IL60607–West Loop,1,1,2953,725,4.073103448275862,88,
111 S Peoria St Unit 602 Chicago,IL60607–West Loop,3,4,7500,2150,3.488372093023256,88,
1240 W Cottage Pl Chicago,IL60607–West Loop,3,3,4500,,0,75,
2 bedroom in CHICAGO IL 60607 500 S Clinton St,Chicago,IL60607–South Loop,2,2,2550,,0,98,
1446 W Lexington St Unit #1 Chicago,IL60607–Little Italy,2,1,2100,9999,0.21002100210021002,71,
1347 W Washington Blvd Unit 3B Chicago,IL60607–Fulton Market,2,2,2900,1300,2.230769230769231,73,
611 S Wells St 611 S Wells St,Chicago,IL60607–South Loop,2,2.5,2100,720,2.9166666666666665,100,
1000 W Washington Blvd Unit 428 Chicago,IL60607–Fulton Market,1,2,3500,1000,3.5,82,
125 S Green St Unit 501a Chicago,IL60607–West Loop,2,2,3500,1297,2.698535080956052,90,
100 S Ashland Ave Unit 211 Chicago,IL60607–Near West Side,1,1,1950,850,2.2941176470588234,75,
1645 W Ogden Ave Unit 602 Chicago,IL60612–Near West Side,2,2,2495,,0,75,
700 W Van Buren St Unit 001202 Chicago,IL60607–West Loop,1,1,2250,850,2.6470588235294117,94,
1000 W Washington Blvd 1000 W Washington Blvd,Chicago,IL60607–Fulton Market,2,2,2421,546,4.434065934065934,82,
1311 W Randolph St Unit 209 Chicago,IL60607–Fulton Market,2,2,2919,930,3.138709677419355,73,
933 W Van Buren St 933 W Van Buren St,Chicago,IL60607–West Loop,2,1,2295,400,5.7375,83,
888 W Van Buren St Chicago,IL60607–West Loop,1,1,2388,625,3.8208,86,
324 S Racine Ave Unit 3n Chicago,IL60607–Fulton Market,4,2,4195,1750,2.3971428571428572,76,
1155 W Madison St Unit 403 Chicago,IL60607–West Loop,1,1,2325,700,3.3214285714285716,77,
334 S Wells St Unit 811 Chicago,IL60606–Chicago Loop,1,1,1962,658,2.9817629179331306,100,
321 S Sangamon St Unit 408 Chicago,IL60607–Fulton Market,2,2,2900,1200,2.4166666666666665,82,
Luxe on Madison 1222 W Madison St,Chicago,IL60607–West Loop,2,2,2096,522,4.015325670498084,76,
1035 W Van Buren St Unit 1600.235976 Chicago,IL60607–West Loop,1,1,3344,816,4.098039215686274,80,
842 W Adams St Unit #3 Chicago,IL60607–West Loop,2,1.5,2495,9999,0.24952495249524953,88,
1340 W Madison St Unit 3W Chicago,IL60607–West Loop,1,1,3000,,0,73,
235 W Van Buren St Unit 3422 Chicago,IL60607–Chicago Loop,2,2,2500,,0,100,
111 S Peoria St Unit 508 Chicago,IL60607–West Loop,2,2,4500,100,45.0,88,
500 S Clinton St Unit 1011 Chicago,IL60607–South Loop,2,1.5,2375,,0,98,
175 N Ada St 175 N Ada St,Chicago,IL60607–Fulton Market,2,2,2977,790,3.768354430379747,72,
180 N Ada St Unit FL7-ID723 Chicago,IL60607–Fulton Market,1,1,3960,740,5.351351351351352,72,
440 N Halsted St Unit 3A Chicago,IL60642–West Loop,3,3.5,6000,2400,2.5,82,
1140 N Wells St Unit Level Suite #5.1341682 Chicago,IL60610–South Loop,Studio,1,10500,560,18.75,97,
215 N Aberdeen St Unit 401B Chicago,IL60607–Fulton Market,2,2,2875,,0,78,
933 W Van Buren St Unit 815 Chicago,IL60607–West Loop,2,2,3900,,0,83,
500 S Clinton St Chicago,IL60607–South Loop,2,2,2750,1300,2.1153846153846154,98,
701 S Clark St Unit 1 Chicago,IL60605–South Loop,2,2,2849,944,3.018008474576271,100,
1224 W Van Buren St 1224 W Van Buren St,Chicago,IL60607–West Loop,2,1.5,2400,900,2.6666666666666665,74,
Sage 1044 W Van Buren St,Chicago,IL60607–West Loop,2,2,1893,428,4.422897196261682,80,
Madison Throop Place 1237 W Madison,Chicago,IL60607–West Loop,3,2,2150,820,2.6219512195121952,76,
6 S Laflin St Unit 403 Chicago,IL60607–West Loop,1,1,3095,966,3.2039337474120084,75,
22 N Morgan St Unit 213 Chicago,IL60607–West Loop,1,1,3000,1600,1.875,82,
354 N Union Ave Unit Deluxe One Bedroom Suite #2.1341719 Chicago,IL60661–West Loop,1,1,12000,700,17.142857142857142,86,
842 W Adams St Unit 3 Chicago,IL60607–West Loop,2,1.5,2495,,0,88,
235 W Van Buren St Unit 2210 Chicago,IL60607–Chicago Loop,1,1,1850,810,2.2839506172839505,100,
354 N Union Ave Unit Junior Two Bedroom Suite #2.1341700 Chicago,IL60661–West Loop,2,2,14400,850,16.941176470588236,86,
1140 N Wells St Unit Executive One Bedroom Suite #3.1341674 Chicago,IL60610–South Loop,1,1,12600,750,16.8,97,
1342 W Hubbard St Unit 3R Chicago,IL60642–West Loop,2,1,1700,950,1.7894736842105263,72,
1446 W Lexington St Unit 1 Chicago,IL60607–Little Italy,2,1,2100,1000,2.1,71,
420 S Clinton St Unit 118 Chicago,IL60607–West Loop,2,1.5,2500,650,3.8461538461538463,98,
1222 W Jackson Blvd Unit 520 Chicago,IL60607–West Loop,Studio,1,1945,403,4.826302729528536,77,
1140 N Wells St Unit Deluxe One Bedroom Suite #5.1341669 Chicago,IL60610–South Loop,1,1,12000,700,17.142857142857142,97,
939 W Madison St Chicago,IL60607–West Loop,2,2,3200,1300,2.4615384615384617,85,
716 S Laflin St Unit 2F Chicago,IL60607–Little Italy,3,2,3200,,0,71,
16 S Aberdeen St Unit 1 Chicago,IL60607–West Loop,3,2.5,5000,1800,2.7777777777777777,79,
611 S Wells St Unit 2507 Chicago,IL60607–South Loop,2,2.5,4600,,0,100,
1155 W Roosevelt Rd Unit 202 Chicago,IL60608–University Village,2,2,2200,1116,1.971326164874552,69,
6 S Laflin St Unit 710 Chicago,IL60607–West Loop,2,2,3500,1100,3.1818181818181817,75,
1328 W Hubbard St Unit 1 Chicago,IL60642–West Loop,3,2.5,5250,,0,72,
737 W Washington Blvd Unit 1304 Chicago,IL60661–Fulton Market,2,2,2985,1390,2.147482014388489,92,
939 W Washington Blvd Unit FL9-ID293 Chicago,IL60607–Fulton Market,1,1,3620,625,5.792,87,
1411 W Taylor St Unit 1R Chicago,IL60607–Little Italy,4,3,3950,,0,70,
1707 S Ruble St Unit 1S Chicago,IL60616–Pilsen,3,2,3100,,0,65,
1360 W Hubbard St Unit 3w Chicago,IL60642–West Loop,3,2,4950,1680,2.9464285714285716,73,
16 S Aberdeen St Unit 1 Chicago,IL60607–West Loop,3,2.5,5000,1250,4.0,79,
1500 W Monroe St Unit 503 Chicago,IL60607–West Loop,2,2,3800,1200,3.1666666666666665,75,
213 N Racine Ave Unit 204 Chicago,IL60607–Fulton Market,2,2,3650,1200,3.0416666666666665,75,
420 S Clinton St Unit 118A Chicago,IL60607–West Loop,2,1.5,2500,,0,99,
816 W Madison St Chicago,IL60607–West Loop,3,3,6299,,0,90,
125 S Green St 125 S Green St,Chicago,IL60607–West Loop,2,2,2500,900,2.7777777777777777,90,
111 W Polk St Unit FL2-ID690 Chicago,IL60605–South Loop,1,1,3110,736,4.225543478260869,100,
170 W Polk St 170 W Polk St,Chicago,IL60605–South Loop,2,2,1874,522,3.5900383141762453,100,
125 S Green St Unit 1109A Chicago,IL60607–West Loop,1,1,2500,800,3.125,90,
111 W Polk St Unit FL4-ID689 Chicago,IL60605–South Loop,1,1,3140,752,4.175531914893617,100,
